,Generation,Time Elapsed
0,0,61.13068
1,1,117.95122699999999
2,2,175.63593899999998
3,3,234.54634099999998
4,4,292.111316
5,5,350.471485
6,6,408.96228399999995
7,7,469.40005599999995
8,8,526.914355
9,9,585.768211
10,10,642.033285
11,11,703.078475
12,12,762.267909
13,13,820.7835600000001
14,14,880.4531610000001
15,15,939.9431550000002
16,16,999.2017250000001
17,17,1057.447664
18,18,1115.726816
19,19,1173.8797880000002
20,20,1232.3952140000001
21,21,1296.2015900000001
22,22,1354.434504
23,23,1413.771351
24,24,1477.905318
25,25,1536.03926
26,26,1593.888464
27,27,1651.355661
28,28,1710.504561
29,29,1775.762325
30,30,1836.5561089999999
31,31,1902.725808
32,32,1963.3162969999998
33,33,2025.4851879999999
34,34,2093.267755
35,35,2156.064332
36,36,2222.9930249999998
37,37,2287.2964709999997
38,38,2348.7159199999996
39,39,2411.8235349999995
40,40,2474.8298279999995
41,41,2539.0655059999995
42,42,2604.9342969999993
43,43,2668.040209999999
44,44,2730.652610999999
45,45,2795.750928999999
46,46,2863.086054999999
47,47,2923.647181999999
48,48,2989.367170999999
49,49,3052.601105999999
50,50,3116.1280779999993
51,51,3179.9687789999994
52,52,3243.7074109999994
53,53,3310.7092679999996
54,54,3374.3435939999995
55,55,3438.4136619999995
56,56,3505.0669159999993
57,57,3565.0278049999993
58,58,3628.7521819999993
59,59,3691.563105999999
60,60,3754.936463999999
61,61,3815.957681999999
62,62,3878.372124999999
63,63,3940.171568999999
64,64,4006.711999999999
65,65,4069.229666999999
66,66,4132.619307999999
67,67,4194.514781999999
68,68,4256.302838
69,69,4319.089513
70,70,4380.080478
71,71,4445.14379
72,72,4504.8610610000005
73,73,4570.836261
74,74,4639.262296000001
75,75,4705.572767000001
76,76,4767.590925
77,77,4829.647870000001
78,78,4889.712512000001
79,79,4953.316875000001
80,80,5019.470078000001
81,81,5084.455501000001
82,82,5151.9082640000015
83,83,5216.579768000001
84,84,5282.286264000001
85,85,5350.376092000001
86,86,5413.264099000001
87,87,5476.045741000001
88,88,5536.822309000001
89,89,5601.452107000001
90,90,5664.763349000001
91,91,5727.171618
92,92,5788.361119
93,93,5856.3967840000005
94,94,5916.727774000001
95,95,5979.634968000001
96,96,6047.962066000001
97,97,6108.682912000001
98,98,6175.461408000001
99,99,6237.145811000001
